timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,timeOnIcePerGame,evenTimeOnIcePerGame,shortHandedTimeOnIcePerGame,powerPlayTimeOnIcePerGame
194:17,2,2,0,29,20,12,0,0,14:35,168:51,0,25.0,6.9,0,0,1,1,10:51,5,-1,4,305,09:42,08:26,00:32,00:43
950:47,11,7,58,63,53,199,0,0,01:35,822:20,58,0.0,11.1,0,0,1,1,126:52,120,1,18,1298,17:56,15:30,02:23,00:01
146:12,2,0,0,7,14,15,0,0,00:24,137:44,0,54.43,0.0,0,0,0,0,08:04,4,-4,2,223,10:26,09:50,00:34,00:01
792:53,15,1,24,85,44,39,1,9,71:43,706:38,24,0.0,1.2,1,0,0,1,14:32,46,-6,16,1037,18:01,16:03,00:19,01:37
1220:29,26,11,20,102,71,44,1,2,66:54,988:37,20,51.17,10.8,2,1,4,5,164:58,37,-6,37,1743,17:11,13:55,02:19,00:56
1428:09,27,16,24,173,71,39,3,4,118:24,1124:38,24,42.64,9.2,1,0,0,2,185:07,35,-6,43,1922,20:06,15:50,02:36,01:40
245:30,4,2,33,29,35,74,0,0,00:05,245:25,33,0.0,6.9,0,0,0,0,00:00,13,-6,6,373,07:00,07:00,00:00,00:00
1073:13,17,23,18,184,66,53,5,8,169:50,841:50,18,50.0,12.5,2,2,2,2,61:33,39,-5,40,1542,16:15,12:45,00:55,02:34
808:45,11,9,24,103,56,122,0,1,28:49,755:25,24,51.2,8.7,2,0,0,0,24:31,39,0,20,1146,14:26,13:29,00:26,00:30
288:26,7,3,16,26,26,65,0,0,03:49,284:13,16,33.33,11.5,0,0,0,0,00:24,9,1,10,409,11:05,10:55,00:00,00:08
261:45,3,0,12,10,24,58,0,0,00:42,234:55,12,0.0,0.0,0,0,0,0,26:08,16,-8,3,375,10:54,09:47,01:05,00:01
958:07,16,7,39,83,61,47,1,4,132:40,824:05,39,47.41,8.4,0,0,0,0,01:22,30,-12,23,1347,15:42,13:30,00:01,02:10
1846:16,33,6,42,186,71,79,0,11,231:17,1597:41,42,0.0,3.2,0,0,0,0,17:18,85,-18,39,1934,26:00,22:30,00:14,03:15
53:03,0,0,0,4,3,0,0,0,03:40,49:10,0,0.0,0.0,0,0,0,0,00:13,4,1,0,63,17:41,16:23,00:04,01:13
182:05,2,1,0,23,15,19,0,0,25:20,156:45,0,0.0,4.3,1,0,0,0,00:00,7,-2,3,256,12:08,10:27,00:00,01:41
1284:52,11,1,22,64,58,108,0,0,07:56,1103:07,22,0.0,1.6,0,0,0,0,173:49,121,-8,12,1566,22:09,19:01,02:59,00:08
1344:20,23,21,106,259,71,303,2,8,207:46,1133:12,106,46.15,8.1,3,1,0,0,03:22,43,-14,44,1777,18:56,15:57,00:02,02:55
677:27,13,8,14,78,43,43,4,5,86:53,581:07,14,0.0,10.3,1,0,0,0,09:27,21,0,21,897,15:45,13:30,00:13,02:01
607:28,15,8,4,98,39,26,0,0,03:03,529:22,4,75.0,8.2,1,0,1,1,75:03,13,7,23,852,15:34,13:34,01:55,00:04
628:05,16,9,18,73,58,13,2,7,68:01,557:06,18,54.02,12.3,0,0,0,0,02:58,19,-3,25,894,10:49,09:36,00:03,01:10
1144:32,17,6,40,99,53,109,0,0,14:09,996:40,40,0.0,6.1,1,0,0,1,133:43,110,12,23,1405,21:35,18:48,02:31,00:16
772:12,10,7,68,110,69,133,0,0,07:08,756:47,68,60.0,6.4,0,0,0,0,08:17,15,-7,17,1127,11:11,10:58,00:07,00:06
1231:37,34,26,24,197,63,32,7,21,189:40,1040:53,24,55.28,13.2,4,3,0,0,01:04,31,-7,60,1388,19:32,16:31,00:01,03:00
1531:25,34,5,16,169,70,47,1,12,186:44,1342:16,16,0.0,3.0,0,0,0,0,02:25,76,-7,39,1742,21:52,19:10,00:02,02:40
394:59,3,1,14,28,26,22,0,0,00:27,351:18,14,0.0,3.6,1,0,0,0,43:14,43,-1,4,513,15:11,13:30,01:39,00:01
1258:37,16,2,43,89,68,89,0,0,02:47,1121:16,43,0.0,2.2,0,0,0,0,134:34,83,13,18,1603,18:30,16:29,01:58,00:02
973:54,16,21,23,106,51,52,3,6,56:04,822:33,23,43.75,19.8,1,0,1,1,95:17,23,13,37,1185,19:05,16:07,01:52,01:05
1137:26,24,3,24,123,47,38,0,7,109:58,934:13,24,0.0,2.4,2,1,0,0,93:15,67,6,27,1323,24:12,19:52,01:59,02:20
1150:18,7,1,20,48,56,92,0,0,04:10,987:07,20,0.0,2.1,1,0,0,0,159:01,79,7,8,1381,20:32,17:37,02:50,00:04
960:00,19,9,32,88,65,48,1,3,81:33,860:52,32,46.92,10.2,1,0,0,0,17:35,41,-2,28,1259,14:46,13:14,00:16,01:15
572:40,5,7,10,42,61,66,0,0,01:24,513:20,10,54.73,16.7,0,0,0,0,57:56,23,-4,12,892,09:23,08:24,00:56,00:01
1238:11,28,31,12,197,68,9,9,17,196:07,1041:07,12,50.0,15.7,7,1,0,0,00:57,14,-2,59,1493,18:12,15:18,00:00,02:53
1089:31,23,13,22,121,69,73,0,3,86:31,888:55,22,13.33,10.7,2,1,2,2,114:05,17,0,36,1460,15:47,12:52,01:39,01:15
572:49,7,8,6,72,48,29,0,0,00:16,510:11,6,39.04,11.1,3,0,1,2,62:22,10,4,15,805,11:56,10:37,01:17,00:00
969:17,7,4,37,65,56,76,0,0,02:41,902:11,37,0.0,6.2,1,0,0,0,64:25,58,14,11,1231,17:18,16:06,01:09,00:02
1271:41,51,16,16,154,59,24,6,24,190:06,951:51,16,26.92,10.4,2,1,0,1,129:44,37,6,67,1450,21:33,16:07,02:11,03:13
527:35,8,4,14,50,44,35,1,1,39:24,479:29,14,39.87,8.0,0,0,0,1,08:42,16,-9,12,725,11:59,10:53,00:11,00:53
1467:52,33,47,8,290,70,40,12,25,223:44,1241:39,8,55.0,16.2,5,0,0,0,02:29,60,19,80,1624,20:58,17:44,00:02,03:11
162:55,3,0,4,14,12,3,0,0,07:09,155:25,4,0.0,0.0,0,0,0,0,00:21,7,0,3,220,13:34,12:57,00:01,00:35
400:49,7,1,10,22,28,33,0,2,20:43,372:37,10,0.0,4.5,1,0,0,0,07:29,22,-7,8,534,14:18,13:18,00:16,00:44
1022:16,18,5,22,95,47,50,1,10,143:02,786:50,22,0.0,5.3,0,0,0,1,92:24,80,-12,23,1246,21:45,16:44,01:57,03:02
1094:21,26,14,32,170,47,52,2,12,148:39,836:20,32,0.0,8.2,3,2,0,1,109:22,63,30,40,1310,23:17,17:47,02:19,03:09
1334:48,14,4,27,104,61,22,0,0,17:51,1118:07,27,0.0,3.8,0,0,0,2,198:50,91,7,18,1614,21:52,18:19,03:15,00:17
272:19,3,8,6,60,20,20,2,3,49:24,221:44,6,30.0,13.3,2,0,0,0,01:11,7,2,11,345,13:36,11:05,00:03,02:28
1190:28,19,8,40,125,68,149,2,3,78:32,952:10,40,54.43,6.4,0,0,0,0,159:46,36,3,27,1628,17:30,14:00,02:20,01:09
1132:53,20,4,30,87,68,43,1,11,121:48,1008:13,30,0.0,4.6,2,1,0,0,02:52,42,-24,24,1416,16:39,14:49,00:02,01:47
992:47,18,11,42,115,67,52,4,11,125:43,865:03,42,25.0,9.6,2,0,0,0,02:01,19,-3,29,1279,14:49,12:54,00:01,01:52
905:53,21,8,30,98,64,36,4,9,140:37,763:12,30,31.03,8.2,1,0,0,0,02:04,25,3,29,1149,14:09,11:55,00:01,02:11
1036:59,27,11,49,141,62,101,1,7,122:21,882:29,49,52.16,7.8,2,1,1,1,32:09,37,-8,38,1286,16:43,14:14,00:31,01:58
1254:33,13,7,72,97,68,118,0,0,01:13,1062:28,72,0.0,7.2,0,0,0,0,190:52,91,7,20,1628,18:26,15:37,02:48,00:01
1386:17,16,8,45,139,67,103,0,0,07:50,1207:23,45,0.0,5.8,1,0,0,2,171:04,96,-10,24,1768,20:41,18:01,02:33,00:07
1305:08,48,15,8,182,68,18,4,21,204:28,980:03,8,49.05,8.2,1,0,1,4,120:37,30,20,63,1577,19:11,14:24,01:46,03:00
506:41,11,2,22,44,45,72,0,0,00:45,448:12,22,51.56,4.5,1,0,0,2,57:44,23,-2,13,756,11:15,09:57,01:16,00:01
897:44,10,7,17,93,68,80,0,0,03:01,730:02,17,38.46,7.5,1,0,2,2,164:41,28,-4,17,1293,13:12,10:44,02:25,00:02
1591:35,30,6,10,145,68,43,0,3,62:12,1318:28,10,0.0,4.1,3,1,0,1,210:55,107,30,36,1892,23:24,19:23,03:06,00:54
728:27,7,1,10,58,49,21,0,0,01:40,666:32,10,0.0,1.7,0,0,0,0,60:15,37,-7,8,967,14:51,13:36,01:13,00:02
614:56,10,4,8,65,45,48,0,0,00:21,579:35,8,0.0,6.2,0,0,0,1,35:00,45,-2,14,805,13:39,12:52,00:46,00:00
932:15,17,13,34,129,68,64,0,0,03:36,854:32,34,47.36,10.1,1,0,3,3,74:07,17,9,30,1320,13:42,12:34,01:05,00:03
1320:49,28,38,26,206,68,55,8,17,193:41,1004:24,26,46.0,18.4,5,0,4,5,122:44,20,10,66,1598,19:25,14:46,01:48,02:50
906:41,20,16,20,88,64,65,5,9,115:25,789:30,20,27.08,18.2,3,0,0,0,01:46,19,-6,36,1183,14:10,12:20,00:01,01:48
1138:11,37,24,54,183,68,116,6,20,201:05,936:00,54,0.0,13.1,5,1,0,0,01:06,27,9,61,1425,16:44,13:45,00:00,02:57
220:21,4,0,24,33,21,37,0,0,01:36,218:45,24,0.0,0.0,0,0,0,0,00:00,7,0,4,308,10:29,10:25,00:00,00:04
482:38,9,6,17,56,39,65,1,1,34:35,427:58,17,52.39,10.7,1,0,0,0,20:05,34,-5,15,641,12:22,10:58,00:30,00:53
1359:04,40,5,20,129,69,18,2,21,255:42,1099:31,20,0.0,3.9,0,0,0,0,03:51,51,0,45,1506,19:41,15:56,00:03,03:42
1453:31,14,5,14,89,69,68,0,0,05:55,1275:40,14,0.0,5.6,3,0,0,1,171:56,96,-6,19,1785,21:03,18:29,02:29,00:05
913:58,10,6,6,114,69,91,0,0,01:23,740:03,6,43.91,5.3,0,0,0,0,172:32,72,2,16,1267,13:14,10:43,02:30,00:01
1180:16,22,25,10,167,69,29,11,17,230:33,948:59,10,0.0,15.0,2,0,0,0,00:44,24,-7,47,1399,17:06,13:45,00:00,03:20
1161:48,30,29,28,214,69,33,11,21,252:23,907:47,28,46.66,13.6,3,0,0,0,01:38,22,-5,59,1357,16:50,13:09,00:01,03:39
759:52,12,12,22,92,48,27,4,8,110:23,612:35,22,54.11,13.0,2,0,0,0,36:54,15,1,24,973,15:49,12:45,00:46,02:17
1000:06,14,19,26,117,69,56,4,6,90:06,909:23,26,35.29,16.2,3,0,0,0,00:37,17,-3,33,1263,14:29,13:10,00:00,01:18
739:35,9,9,20,64,58,47,0,0,00:35,703:35,20,50.0,14.1,1,0,0,0,35:25,38,4,18,997,12:45,12:07,00:36,00:00
1295:13,55,23,30,152,69,51,5,29,246:26,1047:09,30,39.34,15.1,3,1,0,0,01:38,26,5,78,1490,18:46,15:10,00:01,03:34
1064:06,12,8,14,104,59,44,1,2,12:24,980:02,14,0.0,7.7,1,0,0,0,71:40,53,-1,20,1268,18:02,16:36,01:12,00:12
512:32,7,4,37,38,46,57,0,0,04:50,487:41,37,47.05,10.5,0,0,0,0,20:01,28,4,11,711,11:08,10:36,00:26,00:06
905:15,11,7,33,77,45,76,0,0,09:18,815:15,33,0.0,9.1,1,0,0,0,80:42,71,6,18,1133,20:07,18:07,01:47,00:12
751:24,5,3,39,48,56,77,0,0,00:12,727:22,39,0.0,6.3,1,0,0,0,23:50,53,1,8,964,13:25,12:59,00:25,00:00
1321:00,42,20,18,172,66,21,7,20,223:45,1023:46,18,54.28,11.6,2,0,0,1,73:29,35,2,62,1529,20:00,15:30,01:06,03:23
1539:25,36,5,26,147,67,34,0,6,96:47,1306:29,26,0.0,3.4,1,1,0,1,136:09,84,12,41,1838,22:58,19:29,02:01,01:26
856:28,13,12,18,84,67,57,3,6,70:17,713:06,18,50.33,14.3,0,0,0,1,73:05,26,0,25,1222,12:46,10:38,01:05,01:02
1036:10,18,16,30,162,69,102,2,2,100:27,849:07,30,30.0,9.9,4,0,2,2,86:36,43,-8,34,1361,15:01,12:18,01:15,01:27
1053:47,7,20,21,108,66,121,0,0,05:27,880:50,21,47.98,18.5,5,0,1,1,167:30,103,2,27,1429,15:57,13:20,02:32,00:04
110:14,2,2,0,15,9,1,0,1,02:49,107:25,0,35.29,13.3,0,0,0,0,00:00,3,2,4,134,12:14,11:56,00:00,00:18
650:02,5,0,14,39,34,59,0,0,01:30,567:50,14,0.0,0.0,0,0,0,0,80:42,57,-3,5,837,19:07,16:42,02:22,00:02
562:10,3,1,16,44,40,59,0,0,02:26,526:04,16,0.0,2.3,0,0,0,0,33:40,28,5,4,757,14:03,13:09,00:50,00:03
1218:55,23,26,20,130,68,59,8,13,177:09,891:58,20,26.31,20.0,7,0,0,0,149:48,15,19,49,1541,17:55,13:07,02:12,02:36
1322:59,26,8,38,131,70,62,1,7,95:35,1205:10,38,0.0,6.1,0,0,0,0,22:14,66,22,34,1565,18:53,17:13,00:19,01:21
794:29,14,9,71,80,64,104,1,3,97:20,695:46,71,66.66,11.3,1,0,0,0,01:23,13,4,23,1038,12:24,10:52,00:01,01:31
1035:16,11,1,19,50,50,36,0,0,05:31,866:11,19,0.0,2.0,0,0,0,1,163:34,101,7,12,1193,20:42,17:19,03:16,00:06
1049:57,37,29,22,176,57,69,10,19,187:17,833:21,22,54.31,16.5,6,0,0,0,29:19,38,14,66,1268,18:25,14:37,00:30,03:17
449:01,6,1,22,29,27,30,0,0,02:01,389:27,22,0.0,3.4,0,0,0,1,57:33,27,0,7,533,16:37,14:25,02:07,00:04
311:17,2,1,23,31,25,83,0,0,00:52,269:59,23,0.0,3.2,0,0,0,0,40:26,21,-8,3,447,12:27,10:47,01:37,00:02
945:19,17,14,16,113,65,62,1,7,129:08,811:27,16,49.0,12.4,2,1,0,0,04:44,22,9,31,1245,14:32,12:29,00:04,01:59
1587:55,44,11,31,155,66,73,4,22,204:04,1228:07,31,0.0,7.1,3,0,0,0,155:44,98,27,55,1682,24:03,18:36,02:21,03:05
1117:06,24,17,22,128,69,145,4,8,91:32,967:55,22,33.33,13.3,2,0,1,1,57:39,61,25,41,1503,16:11,14:01,00:50,01:19
1103:23,11,21,56,200,66,191,1,3,29:06,898:19,56,31.54,10.5,2,0,3,4,175:58,46,0,32,1364,16:43,13:36,02:39,00:26
1282:42,52,33,38,210,68,37,4,25,241:55,1040:25,38,0.0,15.7,6,3,0,0,00:22,19,26,85,1466,18:51,15:18,00:00,03:33
1114:33,18,8,97,102,70,162,0,2,46:30,897:52,97,49.18,7.8,2,0,0,1,170:11,66,-8,26,1567,15:55,12:49,02:25,00:39
984:35,20,10,49,110,70,78,1,6,49:27,832:31,49,54.07,9.1,5,1,2,3,102:37,20,-5,30,1322,14:03,11:53,01:27,00:42
796:17,11,7,42,78,61,175,0,0,04:07,678:17,42,50.88,9.0,0,0,1,2,113:53,49,-1,18,1099,13:03,11:07,01:52,00:04
486:48,4,9,8,57,52,29,1,1,12:43,472:46,8,45.16,15.8,1,0,0,0,01:19,8,-9,13,692,09:21,09:05,00:01,00:14
1247:31,39,25,11,141,66,24,8,13,216:19,1027:30,11,51.09,17.7,4,0,0,0,03:42,30,28,64,1483,18:54,15:34,00:03,03:16
1269:40,7,5,59,125,67,172,0,0,08:46,1063:32,59,0.0,4.0,1,0,0,0,197:22,97,11,12,1554,18:57,15:52,02:56,00:07
409:50,3,3,10,43,38,36,0,0,02:26,366:54,10,52.52,7.0,0,0,0,0,40:30,9,-9,6,637,10:47,09:39,01:03,00:03
1255:21,28,16,30,113,68,89,1,5,64:54,999:01,30,47.48,14.2,3,1,1,2,191:26,47,28,44,1599,18:27,14:41,02:48,00:57
1425:43,24,10,58,118,70,106,5,13,131:15,1213:10,58,0.0,8.5,0,0,1,1,81:18,99,15,34,1648,20:22,17:19,01:09,01:52
512:53,6,1,14,43,33,19,0,0,01:22,457:34,14,0.0,2.3,0,0,0,0,53:57,21,6,7,653,15:32,13:51,01:38,00:02
780:17,16,10,18,115,46,52,2,5,113:44,666:24,18,33.33,8.7,3,2,0,0,00:09,23,-4,26,960,16:57,14:29,00:00,02:28
1405:11,19,48,30,311,68,184,13,18,332:32,1071:27,30,100.0,15.4,3,1,0,0,01:12,30,-12,67,1388,20:39,15:45,00:01,04:53
1262:20,23,26,26,133,69,90,10,12,247:09,1004:58,26,50.0,19.5,4,1,0,0,10:13,58,4,49,1369,18:17,14:33,00:08,03:34
1160:28,42,12,14,132,61,30,2,18,228:52,917:50,14,49.23,9.1,0,0,0,0,13:46,45,-1,54,1282,19:01,15:02,00:13,03:45
830:31,17,8,16,107,58,24,0,0,00:49,660:12,16,46.42,7.5,2,0,1,3,169:30,19,12,25,1098,14:19,11:22,02:55,00:00
1174:02,23,16,48,151,69,59,2,6,120:01,886:27,48,51.88,10.6,1,1,1,2,167:34,44,3,39,1448,17:00,12:50,02:25,01:44
1699:41,60,15,26,189,69,55,2,26,277:43,1318:55,26,0.0,7.9,6,0,0,0,103:03,108,12,75,1770,24:37,19:06,01:29,04:01
1530:02,23,4,36,105,69,106,1,5,97:18,1371:12,36,0.0,3.8,2,1,0,1,61:32,82,5,27,1659,22:10,19:52,00:53,01:24
668:52,13,9,36,67,59,75,0,0,12:54,621:02,36,57.89,13.4,1,0,0,0,34:56,19,16,22,873,11:20,10:31,00:35,00:13
1212:05,8,0,13,61,68,59,0,1,03:37,1047:36,13,0.0,0.0,0,0,0,0,160:52,71,1,8,1442,17:49,15:24,02:21,00:03
606:52,8,7,28,52,56,117,0,0,01:04,466:21,28,49.72,13.5,1,0,3,3,139:27,26,11,15,865,10:50,08:19,02:29,00:01
1342:36,13,1,104,58,69,194,0,0,02:20,1193:51,104,0.0,1.7,0,0,0,1,146:25,74,-2,14,1724,19:27,17:18,02:07,00:02
1053:56,13,2,40,90,63,164,0,0,03:19,878:21,40,0.0,2.2,1,0,0,0,172:16,75,15,15,1241,16:43,13:56,02:44,00:03
1124:02,33,19,40,129,63,35,6,12,201:04,921:50,40,43.33,14.7,0,0,0,0,01:08,16,-2,52,1244,17:50,14:37,00:01,03:11
282:04,7,3,2,26,24,14,0,1,20:54,254:11,2,42.01,11.5,0,0,0,0,06:59,9,9,10,346,11:45,10:35,00:17,00:52
1242:28,23,21,93,154,68,253,5,7,125:36,978:43,93,31.57,13.6,5,1,1,2,138:09,58,-3,44,1514,18:16,14:23,02:01,01:50
711:19,7,9,79,80,66,189,0,0,02:40,622:48,79,31.03,11.3,1,0,0,1,85:51,46,6,16,967,10:46,09:26,01:18,00:02
1026:53,27,25,18,187,69,29,1,12,134:00,891:29,18,54.54,13.4,6,1,0,0,01:24,16,3,52,1232,14:52,12:55,00:01,01:56
1006:39,7,2,43,49,64,51,0,0,00:37,802:16,43,0.0,4.1,1,0,0,0,203:46,105,11,9,1248,15:43,12:32,03:11,00:00
1080:48,15,3,22,73,58,42,0,0,03:31,985:33,22,0.0,4.1,0,0,0,0,91:44,72,19,18,1271,18:38,16:59,01:34,00:03
580:46,1,3,8,40,32,52,1,1,22:58,508:56,8,0.0,7.5,1,0,0,0,48:52,61,1,4,765,18:08,15:54,01:31,00:43
577:25,5,1,10,42,29,93,0,0,03:03,496:24,10,0.0,2.4,0,0,0,0,77:58,73,10,6,685,19:54,17:07,02:41,00:06
375:54,7,3,33,46,26,74,1,2,58:26,313:35,33,45.16,6.5,0,0,0,0,03:53,9,-4,10,470,14:27,12:03,00:08,02:14
1487:31,24,3,18,111,61,26,2,11,139:11,1181:29,18,0.0,2.7,0,0,0,0,166:51,117,1,27,1584,24:23,19:22,02:44,02:16
1384:23,42,18,48,172,70,56,1,8,231:50,1017:58,48,57.29,10.5,3,3,1,1,134:35,35,-2,60,1683,19:46,14:32,01:55,03:18
1493:51,51,33,40,275,70,24,8,23,259:35,1232:01,40,25.0,12.0,2,1,0,0,02:15,19,8,84,1558,21:20,17:36,00:01,03:42
589:20,7,4,29,43,50,112,0,0,08:45,518:57,29,46.31,9.3,1,0,1,2,61:38,18,2,11,809,11:47,10:22,01:13,00:10
143:08,1,0,15,5,12,19,0,0,00:21,134:59,15,0.0,0.0,0,0,0,0,07:48,21,-8,1,187,11:55,11:14,00:39,00:01
971:21,12,21,16,140,58,36,1,1,71:35,798:11,16,39.65,15.0,5,0,2,2,101:35,19,2,33,1242,16:44,13:45,01:45,01:14
1232:32,14,5,27,117,58,128,0,0,04:01,1068:49,27,0.0,4.3,0,0,0,1,159:42,138,2,19,1450,21:15,18:25,02:45,00:04
1197:18,13,4,20,80,65,119,0,0,15:45,1058:36,20,0.0,5.0,0,0,0,2,122:57,110,0,17,1494,18:25,16:17,01:53,00:14
703:50,9,1,42,47,42,64,0,0,01:15,646:51,42,0.0,2.1,1,0,0,0,55:44,58,3,10,908,16:45,15:24,01:19,00:01
977:28,16,30,16,157,68,79,4,8,132:33,843:14,16,31.57,19.1,3,0,0,0,01:41,17,2,46,1224,14:22,12:24,00:01,01:56
971:04,12,3,28,80,69,117,0,0,16:24,788:34,28,43.11,3.8,0,0,1,3,166:06,48,-6,15,1339,14:04,11:25,02:24,00:14
353:16,4,2,6,35,36,38,0,0,02:26,338:16,6,25.0,5.7,0,0,0,0,12:34,9,-1,6,496,09:48,09:23,00:20,00:04
924:31,26,12,16,97,58,23,2,8,151:02,772:01,16,47.67,12.4,2,0,0,0,01:28,29,1,38,1085,15:56,13:18,00:01,02:36
1224:34,27,18,15,207,70,58,10,16,243:19,980:21,15,35.0,8.7,4,1,0,0,00:54,19,-10,45,1366,17:29,14:00,00:00,03:28
788:47,16,10,10,94,65,29,0,2,75:44,713:03,10,26.31,10.6,1,0,0,0,00:00,14,-2,26,974,12:08,10:58,00:00,01:09
472:37,6,9,32,56,40,81,1,1,06:28,442:04,32,28.57,16.1,0,0,0,1,24:05,16,-3,15,641,11:48,11:03,00:36,00:09
84:50,1,0,0,3,6,11,0,0,01:35,81:31,0,0.0,0.0,0,0,0,0,01:44,6,3,1,108,14:08,13:35,00:17,00:15
11:48,0,0,0,4,1,1,0,0,00:00,11:48,0,0.0,0.0,0,0,0,0,00:00,1,0,0,15,11:48,11:48,00:00,00:00
956:41,8,8,8,90,70,52,0,0,02:53,802:09,8,52.34,8.9,2,0,1,1,151:39,26,-11,16,1311,13:40,11:27,02:09,00:02
17:01,0,0,0,2,1,2,0,0,00:00,17:01,0,0.0,0.0,0,0,0,0,00:00,2,1,0,24,17:01,17:01,00:00,00:00
665:07,9,4,6,50,41,33,0,2,88:59,575:27,6,0.0,8.0,1,0,0,0,00:41,43,-3,13,805,16:13,14:02,00:01,02:10
913:00,15,8,24,101,64,33,0,3,100:25,810:19,24,33.78,7.9,2,0,0,0,02:16,23,-1,23,1103,14:15,12:39,00:02,01:34
176:29,4,0,4,12,8,6,0,0,00:06,148:17,4,0.0,0.0,0,0,0,0,28:06,18,0,4,224,22:03,18:32,03:30,00:00
424:51,7,8,2,60,28,11,4,7,70:50,353:41,2,100.0,13.3,1,0,0,0,00:20,10,-13,15,514,15:10,12:37,00:00,02:31
691:58,6,2,6,51,36,15,1,5,95:51,589:35,6,0.0,3.9,1,1,0,0,06:32,35,-26,8,797,19:13,16:22,00:10,02:39
1162:52,15,6,24,63,70,28,1,5,132:25,911:53,24,44.87,9.5,0,0,1,1,118:34,31,-42,21,1494,16:36,13:01,01:41,01:53
673:16,7,0,20,37,43,9,0,2,33:07,613:11,20,0.0,0.0,0,0,0,0,26:58,44,-22,7,985,15:39,14:15,00:37,00:46
821:00,5,4,8,86,60,44,0,2,62:06,653:51,8,46.05,4.7,0,0,1,2,105:03,35,-13,9,1167,13:41,10:53,01:45,01:02
256:26,0,0,4,16,18,24,0,0,00:12,228:34,4,0.0,0.0,0,0,0,0,27:40,14,-12,0,354,14:14,12:41,01:32,00:00
565:09,3,0,25,40,49,103,0,0,23:48,484:20,25,55.07,0.0,0,0,0,0,57:01,26,-14,3,769,11:32,09:53,01:09,00:29
933:52,7,9,37,102,68,88,0,0,02:19,819:16,37,53.57,8.8,0,0,1,2,112:17,26,-6,16,1309,13:44,12:02,01:39,00:02
804:38,3,0,24,55,49,115,0,0,01:12,719:48,24,0.0,0.0,0,0,0,0,83:38,46,-9,3,1085,16:25,14:41,01:42,00:01
560:40,7,6,12,79,42,22,2,3,42:39,517:29,12,44.11,7.6,0,0,0,0,00:32,10,-10,13,679,13:20,12:19,00:00,01:00
394:53,1,1,8,18,26,45,0,0,00:48,354:44,8,0.0,5.6,0,0,0,0,39:21,24,-3,2,514,15:11,13:38,01:30,00:01
1410:26,8,1,28,89,64,80,0,0,06:06,1184:26,28,0.0,1.1,1,0,0,1,219:54,92,-10,9,1666,22:02,18:30,03:26,00:05
921:16,3,6,14,76,60,147,0,0,06:57,741:33,14,56.14,7.9,1,0,1,1,172:46,68,-29,9,1323,15:21,12:21,02:52,00:06
661:41,3,2,28,63,56,142,0,0,48:37,610:26,28,60.6,3.2,0,0,0,0,02:38,25,-24,5,902,11:48,10:54,00:02,00:52
949:07,14,3,34,70,53,53,0,1,36:16,840:53,34,0.0,4.3,0,0,0,0,71:58,58,-16,17,1211,17:54,15:51,01:21,00:41
1371:19,27,21,40,129,71,71,3,14,223:11,1135:51,40,66.66,16.3,1,0,0,0,12:17,30,-23,48,1534,19:18,15:59,00:10,03:08
812:25,22,16,34,137,43,49,6,9,131:21,680:24,34,42.1,11.7,3,0,0,0,00:40,25,-7,38,909,18:53,15:49,00:00,03:03
427:50,3,1,10,48,40,22,0,0,48:42,378:57,10,0.0,2.1,0,0,0,0,00:11,10,-18,4,559,10:41,09:28,00:00,01:13
1508:41,34,19,39,223,71,52,5,14,229:11,1226:22,39,52.42,8.5,0,0,0,0,53:08,45,-21,53,1702,21:14,17:16,00:44,03:13
985:04,17,15,20,111,61,75,6,9,155:06,829:13,20,40.29,13.5,3,0,0,0,00:45,14,-33,32,1173,16:08,13:35,00:00,02:32
562:09,2,2,2,36,54,59,0,0,01:19,493:43,2,42.47,5.6,0,0,0,0,67:07,18,-21,4,758,10:24,09:08,01:14,00:01
375:23,5,4,16,37,44,93,0,0,02:32,371:38,16,0.0,10.8,1,0,0,0,01:13,11,1,9,562,08:31,08:26,00:01,00:03
1553:14,22,9,46,125,65,105,1,10,187:07,1178:14,46,0.0,7.2,0,0,0,0,187:53,74,-38,31,1735,23:53,18:07,02:53,02:52
264:37,1,0,14,9,16,19,0,1,11:34,231:26,14,0.0,0.0,0,0,0,0,21:37,15,-6,1,363,16:32,14:27,01:21,00:43
204:26,4,2,9,25,21,46,0,0,00:27,203:59,9,75.0,8.0,0,0,0,0,00:00,9,1,6,294,09:44,09:42,00:00,00:01
870:49,8,0,35,44,60,64,0,0,00:53,727:22,35,0.0,0.0,0,0,0,0,142:34,53,6,8,1145,14:30,12:07,02:22,00:00
785:50,3,1,37,39,49,97,0,0,01:19,700:55,37,0.0,2.6,0,0,0,1,83:36,96,-2,4,1148,16:02,14:18,01:42,00:01
1106:47,17,18,16,104,67,17,1,1,96:33,835:43,16,52.58,17.3,3,0,0,0,174:31,89,17,35,1526,16:31,12:28,02:36,01:26
956:18,22,9,22,88,62,18,2,10,143:08,773:20,22,47.49,10.2,4,0,0,0,39:50,25,-9,31,1136,15:25,12:28,00:38,02:18
574:29,2,1,14,45,41,37,0,0,02:38,561:44,14,0.0,2.2,1,0,0,0,10:07,38,-1,3,767,14:00,13:42,00:14,00:03
